"No","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","@CARadsCEO @_nlma @NLtweets @CARadiologists @CMA_Docs Miss you guys",FALSE,0,"CARadsCEO",2018-03-11 02:08:59,FALSE,"972560684394434560","972655596267651072","755413909411102720","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danielewiseman2",0,FALSE,FALSE,NA,NA
"12","RT @DocSandyB: Great call out to all white males of privilege to acknowledge and use our positions and advantages to support and empower wo…",FALSE,0,NA,2018-03-11 01:55:55,FALSE,NA,"972652305706291200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DocMCohen",8,TRUE,FALSE,NA,NA
"13","RT @CARadsCEO: Super science. Legendary hospitality. NLAR annual meeting in Cornerbrook. #radiology #Newfoundland @_nlma @NLtweets @CARadio…",FALSE,0,NA,2018-03-11 01:50:35,FALSE,NA,"972650964069986304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danielewiseman2",7,TRUE,FALSE,NA,NA
"14","Rest in peace Dr. Furlong. You were a great physician, healthcare advocate and a fine human being. We will miss you… https://t.co/txCc98Dids",FALSE,0,NA,2018-03-11 01:33:18,TRUE,NA,"972646612634951680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dharmurology",1,FALSE,FALSE,NA,NA
"15","@DocSandyB will @CMA_Docs provide advice to @OntarioPCParty about how to elect a leader?",FALSE,2,"DocSandyB",2018-03-11 01:29:57,FALSE,NA,"972645772549414912","1053787855","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jamesdownar",0,FALSE,FALSE,NA,NA
"16","RT @CARadsCEO: Super science. Legendary hospitality. NLAR annual meeting in Cornerbrook. #radiology #Newfoundland @_nlma @NLtweets @CARadio…",FALSE,0,NA,2018-03-10 23:14:27,FALSE,NA,"972611673751216128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RadontheRock",7,TRUE,FALSE,NA,NA
"17","RT @CMA_Docs: The CMA’s Code of Ethics was first published in 1868. In today’s world change is needed. Learn more about the Code and the cu…",FALSE,0,NA,2018-03-10 23:08:46,FALSE,NA,"972610240465260544",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ann_CMA",3,TRUE,FALSE,NA,NA
"18",".@FMWCanada .@CDNMinHealth .@CMA_Docs .@ImmunizedotCa imagine a conference where professionals come together to sup… https://t.co/HW8cZDaSVl",FALSE,0,NA,2018-03-10 23:00:06,TRUE,NA,"972608061796839424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","concettaeedy",0,FALSE,FALSE,NA,NA
"19","RT @CMA_Docs: The #ICPH2018 will provide insight on how physicians can maintain their health and wellness from medical school through to re…",FALSE,0,NA,2018-03-10 22:49:13,FALSE,NA,"972605320307658753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AMAmedstudents",1,TRUE,FALSE,NA,NA
"20","RT @marcoux_laurent: Physicians have an important role in ensuring the safe and effective use of #opioids. Here’s how @CMA_Docs is helping…",FALSE,0,NA,2018-03-10 22:46:36,FALSE,NA,"972604664591069184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riouxmau",2,TRUE,FALSE,NA,NA
"21","RT @marcoux_laurent: Physicians have an important role in ensuring the safe and effective use of #opioids. Here’s how @CMA_Docs is helping…",FALSE,0,NA,2018-03-10 22:35:21,FALSE,NA,"972601830654935040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yipengGe",2,TRUE,FALSE,NA,NA
"22","Physicians have an important role in ensuring the safe and effective use of #opioids. Here’s how @CMA_Docs is helpi… https://t.co/yddVJdxRre",FALSE,3,NA,2018-03-10 22:19:55,TRUE,NA,"972597946939256834",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","marcoux_laurent",2,FALSE,FALSE,NA,NA
"23","RT @ChooseWiselyCA: We are excited to announce the official launch of #OpioidWisely! The campaign encourages thoughtful conversation betwee…",FALSE,0,NA,2018-03-10 22:04:40,FALSE,NA,"972594111428681729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anita_forward",45,TRUE,FALSE,NA,NA
"24","RT @jennifer_kitts: Proud to work at @CMA_Docs! 41% of Canadian physicians - and 53% of medical school students - are women. The face of me…",FALSE,0,NA,2018-03-10 21:51:02,FALSE,NA,"972590681079283712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wirtzfeldebrah1",15,TRUE,FALSE,NA,NA
"25","RT @CARadsCEO: Super science. Legendary hospitality. NLAR annual meeting in Cornerbrook. #radiology #Newfoundland @_nlma @NLtweets @CARadio…",FALSE,0,NA,2018-03-10 21:11:03,FALSE,NA,"972580619405406209",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ab890A",7,TRUE,FALSE,NA,NA
"26","RT @CMA_Docs: “The Canadian health-care system was built at a very different time. The challenges we now face require us to think about how…",FALSE,0,NA,2018-03-10 20:46:45,FALSE,NA,"972574503455870978",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FranklinEpic",13,TRUE,FALSE,NA,NA
"27","RT @CMA_Docs: “The Canadian health-care system was built at a very different time. The challenges we now face require us to think about how…",FALSE,0,NA,2018-03-10 20:27:49,FALSE,NA,"972569736302166017",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","theresaboyle",13,TRUE,FALSE,NA,NA
"28","RT @CARadsCEO: Super science. Legendary hospitality. NLAR annual meeting in Cornerbrook. #radiology #Newfoundland @_nlma @NLtweets @CARadio…",FALSE,0,NA,2018-03-10 20:19:31,FALSE,NA,"972567646817472512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","William13058614",7,TRUE,FALSE,NA,NA
"29","RT @DocSandyB: Great call out to all white males of privilege to acknowledge and use our positions and advantages to support and empower wo…",FALSE,0,NA,2018-03-10 20:16:22,FALSE,NA,"972566854924427265",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Namarig_A",8,TRUE,FALSE,NA,NA
"30","Super science. Legendary hospitality. NLAR annual meeting in Cornerbrook. #radiology #Newfoundland @_nlma @NLtweets… https://t.co/ymZYHYsBDq",FALSE,12,NA,2018-03-10 19:51:51,TRUE,NA,"972560684394434560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CARadsCEO",7,FALSE,FALSE,NA,NA
"31","@LadyJulie7 @Montyson @DavidJuurlink @NormOrnstein @heshiegreshie @GPTaylorMRD @CMA_Docs @CIHR_IRSC I'm so sorry fo… https://t.co/1nLravkApK",FALSE,0,"LadyJulie7",2018-03-10 19:30:06,TRUE,"972434275353092098","972555213407100928","3030005477","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","imaginarymou",0,FALSE,FALSE,NA,NA
"32","@TerriPotter @CMA_Docs @ABFamDocs ������ @TerriPotter ! Appreciated.",FALSE,0,"TerriPotter",2018-03-10 19:28:35,FALSE,"972552645792604160","972554830555136000","22978390","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DocSandyB",0,FALSE,FALSE,NA,NA
"33","@DocSandyB @CMA_Docs Congratulations, Sandy! @ABFamDocs are glad to see such a great leader and mentor to many, in this chair! #famdocsrock",FALSE,1,"DocSandyB",2018-03-10 19:19:54,FALSE,"971769897955901440","972552645792604160","1053787855","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TerriPotter",0,FALSE,FALSE,NA,NA
"34","@DrShelleyRoss @FMWCanada @CMA_Docs @DoctorsOfBC @Mwanigeria @MedWIA Thank you Florence and Shelley for forwarding this quote",FALSE,0,"DrShelleyRoss",2018-03-10 19:00:40,FALSE,"971759086667780097","972547806144602112","875936928","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrKathleenRoss1",0,FALSE,FALSE,NA,NA
"35","RT @DrShelleyRoss: Happy International Women's Day! Quoting Dr Florence Manguyu, women make up half of the world's population &amp; produce the…",FALSE,0,NA,2018-03-10 19:00:06,FALSE,NA,"972547661411729408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrKathleenRoss1",4,TRUE,FALSE,NA,NA
"36","RT @KathyKastner: Patients (in Canada :-) can rejoice : @CMA_Docs new Prez, @DocSandyB =patient-centered to the core #PalliativeCare https:…",FALSE,0,NA,2018-03-10 18:54:34,FALSE,NA,"972546269720858626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amaybee",2,TRUE,FALSE,NA,NA
"37","RT @CMA_Docs: The CMA’s Code of Ethics was first published in 1868. In today’s world change is needed. Learn more about the Code and the cu…",FALSE,0,NA,2018-03-10 18:12:06,FALSE,NA,"972535583733141508",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riouxmau",3,TRUE,FALSE,NA,NA
"38","@CMA_Docs @drgigiosler @EverettBreanne Thank you To the CMA for this shout out. The ultrasound and AR enabled futur… https://t.co/GjQpaAS7E9",FALSE,1,"CMA_Docs",2018-03-10 18:06:46,TRUE,"969268577789411331","972534239978774529","59143817","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Philip_Edgcumbe",0,FALSE,FALSE,NA,NA
"39","RT @CMA_Docs: .@Philip_Edgcumbe is a medical student at @UBC who is working on an augmented reality ultrasound navigation aid to help guide…",FALSE,0,NA,2018-03-10 18:06:46,FALSE,NA,"972534239974580225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Philip_Edgcumbe",3,TRUE,FALSE,NA,NA
"40","RT @DocSandyB: Great call out to all white males of privilege to acknowledge and use our positions and advantages to support and empower wo…",FALSE,0,NA,2018-03-10 18:00:35,FALSE,NA,"972532685322113024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UBC_SB",8,TRUE,FALSE,NA,NA
"41","RT @DocSandyB: Great call out to all white males of privilege to acknowledge and use our positions and advantages to support and empower wo…",FALSE,0,NA,2018-03-10 17:43:13,FALSE,NA,"972528312747745281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","willowbarcelona",8,TRUE,FALSE,NA,NA
"42","@jblackmerMD @alandrummond2 @PEAKMD @larsendarren @Kapur_AK Thanks for your congrats @jblackmerMD ! I too look so f… https://t.co/eKyk7dd5vM",FALSE,9,"jblackmerMD",2018-03-10 17:36:04,TRUE,"971766316142157824","972526512959143936","159913298","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DocSandyB",0,FALSE,FALSE,NA,NA
"43","RT @DocSandyB: On professionalism in medicine. We need to hold people to account AND recognize the root of the issue stems from things like…",FALSE,0,NA,2018-03-10 17:31:50,FALSE,NA,"972525448944128001",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Carrie_L4",3,TRUE,FALSE,NA,NA
"44","RT @DocSandyB: Great call out to all white males of privilege to acknowledge and use our positions and advantages to support and empower wo…",FALSE,0,NA,2018-03-10 17:28:50,FALSE,NA,"972524694481133569",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Carrie_L4",8,TRUE,FALSE,NA,NA
"45","RT @gavery10: We face similar problems in Canada.  An international collaboration to develop the correct system responses would be very hel…",FALSE,0,NA,2018-03-10 17:23:04,FALSE,NA,"972523241997615104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrRFernandez",2,TRUE,FALSE,NA,NA
"46","@KimKellyMD @CMA_Docs Really, it’s thank-YOU :).  #Heforshe @FMWCanada",FALSE,1,"KimKellyMD",2018-03-10 17:18:46,FALSE,"972521470734712832","972522162836815872","84487892","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DocSandyB",0,FALSE,FALSE,NA,NA
"47","@DocSandyB @CMA_Docs Thank you. #heforshe",FALSE,1,"DocSandyB",2018-03-10 17:16:01,FALSE,"972521299829387265","972521470734712832","1053787855","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimKellyMD",0,FALSE,FALSE,NA,NA
"48","RT @DocSandyB: Great call out to all white males of privilege to acknowledge and use our positions and advantages to support and empower wo…",FALSE,0,NA,2018-03-10 17:15:42,FALSE,NA,"972521391512633344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimKellyMD",8,TRUE,FALSE,NA,NA
"49","Great call out to all white males of privilege to acknowledge and use our positions and advantages to support and e… https://t.co/5T1vcXQqGr",FALSE,23,NA,2018-03-10 17:15:21,TRUE,NA,"972521299829387265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DocSandyB",8,FALSE,FALSE,NA,NA
"50","RT @CMA_Docs: The CMA’s Code of Ethics was first published in 1868. In today’s world change is needed. Learn more about the Code and the cu…",FALSE,0,NA,2018-03-10 17:08:53,FALSE,NA,"972519675744739329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","langdon",3,TRUE,FALSE,NA,NA
"51","RT @Monika_Dutt: Thrilled to hear this!

MT @drgigiosler At the August 2018 @CMA_Docs meeting in #Winnipeg there will be on-site, complimen…",FALSE,0,NA,2018-03-10 17:07:07,FALSE,NA,"972519229416095744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","drgigiosler",3,TRUE,FALSE,NA,NA
"52","RT @gavery10: We face similar problems in Canada.  An international collaboration to develop the correct system responses would be very hel…",FALSE,0,NA,2018-03-10 16:48:11,FALSE,NA,"972514465303482368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","momandbabydepot",2,TRUE,FALSE,NA,NA
"53","RT @theroyalfdn: We are always honuored to share @TheRoyalMHC with our community.
Meet Lindee, CEO of Joule - a new subsidiary of the @CMA…",FALSE,0,NA,2018-03-10 16:31:00,FALSE,NA,"972510140418027520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClaudeLurette",1,TRUE,FALSE,NA,NA
"54","RT @CMA_Docs: “The Canadian health-care system was built at a very different time. The challenges we now face require us to think about how…",FALSE,0,NA,2018-03-10 15:49:33,FALSE,NA,"972499708051570689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emmanuellem07",13,TRUE,FALSE,NA,NA
"55","RT @DocSandyB: I am thrilled and overwhelmed at the news! I am grateful for all of the support and look forward to doing the work as @CMA_D…",FALSE,0,NA,2018-03-10 15:39:26,FALSE,NA,"972497161572139008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drfmartino",31,TRUE,FALSE,NA,NA
"56","RT @Monika_Dutt: Thrilled to hear this!

MT @drgigiosler At the August 2018 @CMA_Docs meeting in #Winnipeg there will be on-site, complimen…",FALSE,0,NA,2018-03-10 15:04:16,FALSE,NA,"972488313499037697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichaelSchwandt",3,TRUE,FALSE,NA,NA
"57","Thrilled to hear this!

MT @drgigiosler At the August 2018 @CMA_Docs meeting in #Winnipeg there will be on-site, co… https://t.co/iw6fLUOOhX",FALSE,7,NA,2018-03-10 14:45:07,TRUE,NA,"972483495804186624",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Monika_Dutt",3,FALSE,FALSE,NA,NA
"58","RT @CMA_Docs: “The Canadian health-care system was built at a very different time. The challenges we now face require us to think about how…",FALSE,0,NA,2018-03-10 14:30:12,FALSE,NA,"972479738290823174",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BAJ68",13,TRUE,FALSE,NA,NA
"59","@rikipedia @TorontoStar @CMA_Docs @CanadianParents Cool. Also: https://t.co/0yQm8NR8oa",FALSE,0,"rikipedia",2018-03-10 14:14:29,FALSE,"972450478494756864","972475785477943296","23077816","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pablonium",0,FALSE,FALSE,NA,NA
"60","RT @CMA_Docs: “The Canadian health-care system was built at a very different time. The challenges we now face require us to think about how…",FALSE,0,NA,2018-03-10 13:57:41,FALSE,NA,"972471558290726912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dr_ChrisSimpson",13,TRUE,FALSE,NA,NA
"61","RT @CMA_Docs: “The Canadian health-care system was built at a very different time. The challenges we now face require us to think about how…",FALSE,0,NA,2018-03-10 13:50:29,FALSE,NA,"972469745130835969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Barbara61353150",13,TRUE,FALSE,NA,NA
"62","@pablonium @TorontoStar @CMA_Docs @CanadianParents The Australian govt, so I've heard, started handing out 'dirt pi… https://t.co/EfpJ1CGOmu",FALSE,0,"pablonium",2018-03-10 12:33:55,TRUE,"972447670986948608","972450478494756864","17068693","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rikipedia",0,FALSE,FALSE,NA,NA
"63","Children need microbes — not antibiotics — to develop immunity + Hyper-hygienic environments can lead to chronic co… https://t.co/kojJuraACY",FALSE,0,NA,2018-03-10 12:22:46,TRUE,NA,"972447670986948608",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","pablonium",0,FALSE,FALSE,NA,NA
"64","RT @ResidentDoctors: FYI @CMA_Docs has launched a 'Health impacts of cannabis use' contest. Provide your voice and opinions in written, ora…",FALSE,0,NA,2018-03-10 12:07:20,FALSE,NA,"972443787632021510",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riouxmau",7,TRUE,FALSE,NA,NA
"65","RT @jblackmerMD: We learned in Canada that taking a polarizing pro/con approach was not best for physicians or patients. It was a very diff…",FALSE,0,NA,2018-03-10 11:58:17,FALSE,NA,"972441510020075521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riouxmau",2,TRUE,FALSE,NA,NA
"66","@imaginarymou @Montyson @DavidJuurlink @NormOrnstein @heshiegreshie @GPTaylorMRD @CMA_Docs @CIHR_IRSC Well mine is… https://t.co/hrMs1pdJMK",FALSE,0,"imaginarymou",2018-03-10 11:29:32,TRUE,"972417040324558848","972434275353092098","726276051572158464","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LadyJulie7",0,FALSE,FALSE,NA,NA
"67","@LadyJulie7 @Montyson @DavidJuurlink @NormOrnstein @heshiegreshie You're lucky! My docs fear the repercussions if I… https://t.co/L4eAMaLwaL",FALSE,0,"LadyJulie7",2018-03-10 10:21:03,TRUE,"961810226704871424","972417040324558848","3030005477","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","imaginarymou",0,FALSE,FALSE,NA,NA
"68","RT @CMA_Docs: “The Canadian health-care system was built at a very different time. The challenges we now face require us to think about how…",FALSE,0,NA,2018-03-10 09:05:20,FALSE,NA,"972397983659540480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gavery10",13,TRUE,FALSE,NA,NA
"69","@gavery10 @TheBMA @CMA_Docs @DoctorsOfBC @picardonhealth Yes one of our thoughts is that there should be internatio… https://t.co/2Bfu9yLUEE",FALSE,0,"gavery10",2018-03-10 09:02:42,TRUE,"972396742527262720","972397320422723585","2742739538","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nashburner",0,FALSE,FALSE,NA,NA
"70","We face similar problems in Canada.  An international collaboration to develop the correct system responses would b… https://t.co/DX4iYaFW0p",FALSE,8,NA,2018-03-10 09:00:24,TRUE,NA,"972396742527262720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gavery10",2,FALSE,FALSE,NA,NA
"71","We can deal with this if given the latitude and collaboration @CMA_Docs @DoctorsOfBC @picardonhealth https://t.co/d7EkrtlPdb",FALSE,1,NA,2018-03-10 08:21:27,FALSE,NA,"972386939201576960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gavery10",0,FALSE,FALSE,NA,NA
"72","RT @DennisKendel: Our failure to assure equitable compensation between medical disciplines harms our profession-we need to chnage this @mar…",FALSE,0,NA,2018-03-10 06:46:26,FALSE,NA,"972363027998638081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ayoubdangor",6,TRUE,FALSE,NA,NA
"73","@CMA_Docs  can you follow so I can talk our socks day",FALSE,0,"CMA_Docs",2018-03-10 06:36:06,FALSE,NA,"972360427429507072","59143817","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gdtoogood",0,FALSE,FALSE,NA,NA
"74","RT @yipengGe: ""The Charter of Shared Values is a way for all physicians to be reminded of the values that we share: respect, integrity, rec…",FALSE,0,NA,2018-03-10 04:46:18,FALSE,NA,"972332794977243136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fauldsca",11,TRUE,FALSE,NA,NA
"75","RT @dlkelsall: Congratulations to @DocSandyB on his election as @CMA_Docs 2019 President-elect Nominee, former president @famphyscan. #fami…",FALSE,0,NA,2018-03-10 04:01:01,FALSE,NA,"972321400219353088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lea_libiseja",1,TRUE,FALSE,NA,NA
"76","RT @CMA_Docs: “The Canadian health-care system was built at a very different time. The challenges we now face require us to think about how…",FALSE,0,NA,2018-03-10 03:53:44,FALSE,NA,"972319566633222144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WebbCharleswebb",13,TRUE,FALSE,NA,NA
"77","@dlkelsall @CMA_Docs @FamPhysCan Thanks!",FALSE,0,"dlkelsall",2018-03-10 03:49:53,FALSE,"972317448925007872","972318598222856194","85965625","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DocSandyB",0,FALSE,FALSE,NA,NA
"78","Congratulations to @DocSandyB on his election as @CMA_Docs 2019 President-elect Nominee, former president… https://t.co/K0bFZBYGh3",FALSE,3,NA,2018-03-10 03:45:19,TRUE,NA,"972317448925007872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dlkelsall",1,FALSE,FALSE,NA,NA
"79","@LisaLevin1 @CMA_Docs @AdvantAgeOnt Correction: CMA ;)",FALSE,0,"LisaLevin1",2018-03-10 03:37:32,FALSE,"972258130674507777","972315493100011522","444741381","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DocSandyB",0,FALSE,FALSE,NA,NA
"80","RT @amaybee: Looking forward to learning how @CMA_Docs will work with patients. Congrats @DocSandyB @PatientAdvisors #CMAElection https://t…",FALSE,0,NA,2018-03-10 03:27:48,FALSE,NA,"972313042850430976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GailBellissimo",3,TRUE,FALSE,NA,NA
